ID,Category
1,Hybrid/Meta
2,Attentive
3,Attentive
4,Graph-Based
5,Attentive
6,Graph-Based
7,Attentive
8,Sequence Modeling
9,Attentive
10,Hybrid/Meta
11,Attentive
12,Attentive
13,Graph-Based
14,Attentive
15,Attentive
16,Forgetting-Aware
17,Forgetting-Aware
18,Attentive
19,Hybrid/Meta
20,Sequence Modeling
21,Hybrid/Meta
22,Hybrid/Meta
23,Sequence Modeling
24,Forgetting-Aware
25,Memory-Augmented
26,Graph-Based
27,Hybrid/Meta
28,Sequence Modeling
29,Graph-Based
30,Forgetting-Aware
31,Hybrid/Meta
32,Hybrid/Meta
33,Graph-Based
34,Hybrid/Meta
35,Memory-Augmented
36,Sequence Modeling
37,Hybrid/Meta
38,Attentive
39,Hybrid/Meta
40,Graph-Based
41,Graph-Based
42,Graph-Based
43,Graph-Based
44,Memory-Augmented
45,Graph-Based
46,Graph-Based
47,Memory-Augmented
48,Memory-Augmented
49,Graph-Based
50,Graph-Based
51,Forgetting-Aware
52,Sequence Modeling
53,Sequence Modeling
54,Graph-Based
55,Graph-Based
56,Attentive
57,Hybrid/Meta
58,Graph-Based
59,Graph-Based
60,Sequence Modeling
61,Attentive
62,Hybrid/Meta
63,Forgetting-Aware
64,Hybrid/Meta
65,Graph-Based
66,Graph-Based
67,Memory-Augmented
68,Memory-Augmented
69,Graph-Based
70,Sequence Modeling
71,Hybrid/Meta
72,Graph-Based
73,Memory-Augmented
74,Attentive
75,Hybrid/Meta
76,Forgetting-Aware
77,Forgetting-Aware
78,Memory-Augmented
79,Hybrid/Meta
80,Hybrid/Meta
81,Attentive
82,Hybrid/Meta
83,Hybrid/Meta
84,Sequence Modeling
